gene_accession,cipmet0none_S1,cipmet0none_S2,cipmet0none_S3
MEG_1231|Metals|Copper_resistance|Copper_resistance_regulator|BHSA,1893.0,2617.0,2678.0
MEG_3513|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|KPN,3210.0,4576.0,4353.0
MEG_5422|Metals|Copper_resistance|Copper_resistance_protein|PCOD,1809.0,3129.0,4222.0
MEG_402|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRB,104.0,389.0,259.0
MEG_2043|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|COPBM,0.0,120.0,95.0
MEG_1055|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,44.0,63.0,237.0
MEG_3947|Metals|Multi-metal_resistance|Multi-metal_resistance_regulator|MGTA,7246.0,9544.0,9910.0
MEG_1275|Drugs|betalactams|Class_C_betalactamases|BLAEC,299.0,301.0,299.0
MEG_2675|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBA,178.0,236.0,249.0
MEG_6121|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_2587|Drugs|betalactams|Class_C_betalactamases|DHA,0.0,23.0,0.0
MEG_2736|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRY,4806.0,6507.0,6360.0
MEG_6503|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|SILE,1641.0,1825.0,2675.0
MEG_2030|Metals|Copper_resistance|Copper_resistance_protein|COPA,0.0,140.0,0.0
MEG_6139|Drugs|Lipopeptides|Daptomycin-resistant_beta-subunit_of_RNA_polymerase_RpoC|RPOCL|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_6506|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|SILP,1220.0,2179.0,2707.0
MEG_6960|Metals|Tellurium_resistance|Tellurium_resistance_protein|TERW,36.0,77.0,35.0
MEG_6414|Drugs|betalactams|Class_A_betalactamases|SHV,0.0,131.0,64.0
MEG_2680|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBA,137.0,235.0,237.0
MEG_1276|Drugs|betalactams|Class_C_betalactamases|BLAEC,2124.0,3548.0,4198.0
MEG_6904|Drugs|betalactams|Class_A_betalactamases|TEM,0.0,0.0,15.0
MEG_6961|Metals|Tellurium_resistance|Tellurium_resistance_protein|TERZ,201.0,514.0,443.0
MEG_2435|Drugs|betalactams|Class_A_betalactamases|CTX,37302.0,50871.0,72277.0
MEG_7855|Metals|Zinc_resistance|Zinc_resistance_protein|ZNUA,2020.0,2816.0,2720.0
MEG_2517|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,0.0,19.0,64.0
MEG_1771|Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|CMLA,0.0,22.0,0.0
MEG_8456|Drugs|betalactams|Penicillin_binding_protein|PBP2|RequiresSNPConfirmation,960.0,617.0,0.0
MEG_2119|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|CPXAR,2222.0,2945.0,2820.0
MEG_4118|Metals|Multi-metal_resistance|Multi-metal_MFS_efflux_pumps|NCRA,0.0,106.0,0.0
MEG_6638|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,92.0,85.0,159.0
MEG_7025|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETA,341.0,78.0,393.0
MEG_2579|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRG,0.0,71.0,0.0
MEG_6140|Biocides|Multi-biocide_resistance|Multi-biocide_resistance_regulator|RPOS,679.0,907.0,977.0
MEG_171|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,0.0,0.0,6.0
MEG_2495|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,29.0,12.0,11.0
MEG_4355|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXB,106.0,215.0,153.0
MEG_2995|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,17.0,45.0,64.0
MEG_1701|Metals|Sodium_resistance|Sodium_resistance_protein|CHAA,6700.0,9007.0,9082.0
MEG_2533|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,9.0,0.0,0.0
MEG_3887|Metals|Mercury_resistance|Mercury_resistance_regulator|MERR2,0.0,217.0,0.0
MEG_968|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,57.0,31.0,67.0
MEG_7185|Drugs|Tetracyclines|Tetracycline_transcriptional_repressor|TETR|RequiresSNPConfirmation,1057.0,173.0,980.0
MEG_7858|Metals|Zinc_resistance|Zinc_resistance_protein|ZNUB,4386.0,5627.0,5527.0
MEG_3609|Drugs|MLS|Lincosamide_nucleotidyltransferases|LNUB,0.0,80.0,0.0
MEG_44|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,81.0,91.0,230.0
MEG_1692|Drugs|betalactams|Class_A_betalactamases|CFX,0.0,25.0,0.0
MEG_891|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,12.0,0.0,0.0
MEG_1045|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,57.0,68.0,254.0
MEG_2870|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_regulator|EVGS,16802.0,23478.0,22367.0
MEG_4356|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXB,60.0,122.0,0.0
MEG_696|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ADEK,246.0,40.0,0.0
MEG_4057|Drugs|Lipopeptides|Daptomycin-resistant_mutant|MPRFD|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_3599|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|LMRS,570.0,469.0,0.0
MEG_84|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,0.0,24.0,4.0
MEG_8080|Drugs|Lipopeptides|Colistin_phosphoethanolamine_transferase|EPTB,3703.0,6785.0,6021.0
MEG_7869|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,49.0,53.0,153.0
MEG_6118|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,1.0,0.0,0.0
MEG_6928|Drugs|betalactams|Class_A_betalactamases|TEM,75.0,0.0,44.0
MEG_4361|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXB,0.0,96.0,133.0
MEG_7125|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,0.0,44.0,0.0
MEG_6629|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,93.0,77.0,169.0
MEG_4288|Drugs|Multi-drug_resistance|MDR_mutant_porin_proteins|OMPF|RequiresSNPConfirmation,0.0,0.0,168.0
MEG_7842|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_ABC_efflux_pumps|YOGI,9965.0,13796.0,13840.0
MEG_7263|Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|TOLC,3112.0,4397.0,4334.0
MEG_699|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|ADEL,477.0,0.0,0.0
MEG_8692|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|SDRM,621.0,434.0,0.0
MEG_4365|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXB,0.0,97.0,0.0
MEG_3626|Drugs|Lipopeptides|Colistin-resistant_mutant|LPXA|RequiresSNPConfirmation,16.0,0.0,0.0
MEG_7303|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,1546.0,1773.0,1976.0
MEG_6713|Drugs|betalactams|Class_A_betalactamases|TEM,14.0,0.0,0.0
MEG_1360|Drugs|betalactams|Class_A_betalactamases|BLAZ,0.0,15.0,0.0
MEG_4177|Metals|Nickel_resistance|Nickel_ABC_efflux_regulator|NIKR,2670.0,3855.0,3877.0
MEG_7321|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,34.0,26.0,2.0
MEG_2449|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|CUSC,1071.0,1937.0,1849.0
MEG_6618|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,117.0,56.0,100.0
MEG_5786|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_regulator|PHOR,2491.0,4068.0,3902.0
MEG_4358|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXB,0.0,135.0,117.0
MEG_378|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|ABES,295.0,6.0,10.0
MEG_728|Drugs|betalactams|Class_C_betalactamases|AMPC,945.0,1564.0,808.0
MEG_5|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,3.0,1.0,0.0
MEG_3227|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_5352|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_3839|Metals|Mercury_resistance|Mercury_resistance_protein|MERA,0.0,0.0,5.0
MEG_3748|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|MDTB,0.0,0.0,1422.0
MEG_9|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_7492|Drugs|Glycopeptides|VanB-type_regulator|VANSB,0.0,16.0,0.0
MEG_83|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,0.0,18.0,0.0
MEG_6838|Drugs|betalactams|Class_A_betalactamases|TEM,13.0,0.0,0.0
MEG_3755|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|MDTH,6688.0,9337.0,9306.0
MEG_7121|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,53.0,61.0,0.0
MEG_4350|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXB,65.0,194.0,90.0
MEG_1593|Drugs|Phenicol|Chloramphenicol_acetyltransferases|CATA,233.0,190.0,433.0
MEG_3867|Metals|Mercury_resistance|Mercury_resistance_protein|MERE,0.0,0.0,5.0
MEG_6639|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULIII,0.0,38.0,540.0
MEG_6135|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,5.0,4.0,0.0
MEG_7105|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,49.0,63.0,0.0
MEG_5388|Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_137|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,0.0,9.0,0.0
MEG_3587|Drugs|Lipopeptides|Daptomycin-resistant_mutant|LIAFSR|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_7182|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETQ,104.0,135.0,152.0
MEG_4328|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXA,26.0,64.0,64.0
MEG_6964|Drugs|Tetracyclines|Tetracycline-resistant_16S_ribosomal_subunit_protein|TET16S|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_3862|Metals|Mercury_resistance|Mercury_resistance_regulator|MERD,0.0,90.0,16.0
MEG_2086|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|CORA,1367.0,1830.0,2134.0
MEG_556|Drugs|betalactams|Class_C_betalactamases|ADC,30.0,0.0,0.0
MEG_698|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ADEK,599.0,0.0,0.0
MEG_3953|Drugs|betalactams|Class_C_betalactamases|MIR,0.0,10.0,0.0
MEG_5236|Drugs|betalactams|Class_D_betalactamases|OXA,160.0,0.0,0.0
MEG_2453|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_regulator|CUSS,6855.0,11650.0,10695.0
MEG_8087|Biocides|Aldehyde_resistance|Aldehyde_degradation|FORMA,0.0,2362.0,2362.0
MEG_2679|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBA,156.0,225.0,243.0
MEG_6030|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRS,0.0,0.0,22.0
MEG_677|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ADEA,1838.0,84.0,0.0
MEG_2999|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,0.0,22.0,17.0
MEG_4103|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|MVRC,676.0,1486.0,1740.0
MEG_6776|Drugs|betalactams|Class_A_betalactamases|TEM,0.0,16.0,20.0
MEG_3178|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,47.0,10.0,5.0
MEG_1300|Drugs|betalactams|Penicillin_binding_protein_regulator|BLAR,0.0,685.0,0.0
MEG_700|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|ADEL,1046.0,60.0,0.0
MEG_3201|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_6955|Metals|Tellurium_resistance|Tellurium_resistance_protein|TERB,0.0,37.0,0.0
MEG_6867|Drugs|betalactams|Class_A_betalactamases|TEM,1393.0,487.0,1066.0
MEG_5420|Metals|Copper_resistance|Copper_resistance_protein|PCOC,1030.0,1645.0,2199.0
MEG_6637|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,96.0,57.0,149.0
MEG_2909|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|FIEF,5860.0,7854.0,7881.0
MEG_6032|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRS,0.0,0.0,20.0
MEG_404|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|ACRD,471.0,1215.0,1232.0
MEG_3762|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|MDTM,2698.0,3911.0,3718.0
MEG_3889|Metals|Mercury_resistance|Mercury_resistance_regulator|MERR2,0.0,35.0,18.0
MEG_1107|Biocides|Multi-biocide_resistance|Multi-biocide_resistance_regulator|ARIR,1508.0,2025.0,1879.0
MEG_5332|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,6.0,1.0,2.0
MEG_4002|Metals|Multi-metal_resistance|Multi-metal_ABC_efflux_pumps|MODA,5349.0,7218.0,7173.0
MEG_2729|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRD,4513.0,6380.0,6247.0
MEG_678|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ADEB,4814.0,300.0,86.0
MEG_7333|Drugs|Glycopeptides|VanA-type_resistance_protein|VAN|RequiresSNPConfirmation,5.0,0.0,0.0
MEG_3140|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|GLPF,727.0,1035.0,969.0
MEG_890|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,26.0,0.0,49.0
MEG_6633|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,79.0,67.0,147.0
MEG_5367|Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_6982|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TET38,172.0,117.0,0.0
MEG_1216|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|BCRCM,0.0,0.0,10.0
MEG_2092|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|CORD,1373.0,1876.0,1809.0
MEG_6027|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRS,0.0,0.0,26.0
MEG_138|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,0.0,11.0,0.0
MEG_6017|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRS,53.0,0.0,27.0
MEG_376|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|ABES,72.0,0.0,0.0
MEG_7086|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETH,47.0,0.0,0.0
MEG_6440|Drugs|betalactams|Class_A_betalactamases|SHV,0.0,6.0,0.0
MEG_6615|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,0.0,52.0,0.0
MEG_1097|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH6,76.0,87.0,433.0
MEG_3998|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|MNTH,7446.0,10589.0,10581.0
MEG_4780|Drugs|betalactams|Class_D_betalactamases|OXA,7.0,0.0,0.0
MEG_3002|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,47.0,113.0,116.0
MEG_3641|Drugs|MLS|MLS_resistance_ABC_efflux_pumps|LSA,0.0,262.0,0.0
MEG_679|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ADEC,0.0,152.0,0.0
MEG_5335|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_7862|Metals|Zinc_resistance|Zinc_resistance_regulator|ZRAR,8377.0,11682.0,11993.0
MEG_2993|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,65.0,221.0,152.0
MEG_3758|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MATE_efflux_pumps|MDTK,3588.0,4523.0,4664.0
MEG_3245|Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|GYRBA|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_7820|Biocides|Acid_resistance|Acid_resistance_protein|YDEP,11645.0,11983.0,11205.0
MEG_2994|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,16.0,25.0,11.0
MEG_1177|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ARSRM,28.0,65.0,0.0
MEG_1191|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_regulator|BAER,0.0,294.0,278.0
MEG_7835|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|YIEF,3538.0,4920.0,5059.0
MEG_3756|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|MDTI,2205.0,2867.0,2742.0
MEG_2090|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|CORC,1903.0,2622.0,2615.0
MEG_6630|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,0.0,75.0,134.0
MEG_5348|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,19.0,1.0,1.0
MEG_1247|Drugs|betalactams|Class_A_betalactamases|BLAA,634.0,92.0,44.0
MEG_8338|Drugs|betalactams|Class_D_betalactamases|OXA,22.0,0.0,0.0
MEG_3765|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MDTP,9835.0,13156.0,13275.0
MEG_7301|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,0.0,0.0,1.0
MEG_4345|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXB,0.0,115.0,0.0
MEG_5346|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_5359|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_4364|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXB,72.0,294.0,244.0
MEG_685|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ADEH,2375.0,113.0,28.0
MEG_3142|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|GLPF,1784.0,2573.0,2461.0
MEG_4357|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXB,0.0,112.0,62.0
MEG_7101|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETL,0.0,0.0,161.0
MEG_3836|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MATE_efflux_regulator|MEPR,264.0,185.0,0.0
MEG_2510|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,10.0,0.0,0.0
MEG_3750|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|MDTC,0.0,1626.0,1456.0
MEG_4286|Drugs|Multi-drug_resistance|MDR_mutant_porin_proteins|OMPF|RequiresSNPConfirmation,240.0,584.0,525.0
MEG_7194|Drugs|Tetracyclines|Tetracycline_transcriptional_repressor|TETR|RequiresSNPConfirmation,181.0,262.0,0.0
MEG_6142|Drugs|Mycobacterium_tuberculosis-specific_Drug|Pyrazinamide-resistant_mutant|RPSA|RequiresSNPConfirmation,1.0,0.0,0.0
MEG_2598|Drugs|betalactams|Class_C_betalactamases|DHA,0.0,33.0,0.0
MEG_1016|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH2-DPRIME,10.0,75.0,0.0
MEG_6925|Drugs|betalactams|Class_A_betalactamases|TEM,86.0,0.0,50.0
MEG_6163|Drugs|Nucleosides|Streptothricin_acetyltransferase|SAT,20.0,16.0,43.0
MEG_8448|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,779.0,0.0,0.0
MEG_7134|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,48.0,0.0,0.0
MEG_8238|Drugs|Lipopeptides|Colistin_phosphoethanolamine_transferase|MCR,86.0,348.0,939.0
MEG_1116|Drugs|Multi-drug_resistance|MDR_regulator|ARLR,35.0,0.0,0.0
MEG_2721|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRA,2271.0,3123.0,3144.0
MEG_1652|Biocides|Biguanide_resistance|Biguanide_cation_efflux|CEPAB,506.0,1498.0,1239.0
MEG_4172|Metals|Nickel_resistance|Nickel_ABC_efflux_pumps|NIKD,1459.0,2097.0,1986.0
MEG_4210|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|NORB,607.0,549.0,0.0
MEG_8231|Drugs|Lipopeptides|Colistin-resistant_mutant|LPSB,1866.0,105.0,24.0
MEG_1587|Drugs|Phenicol|Chloramphenicol_acetyltransferases|CATA,53.0,47.0,102.0
MEG_3167|Metals|Gold_resistance|Gold_resistance_regulator|GOLS,0.0,0.0,28.0
MEG_3868|Metals|Mercury_resistance|Mercury_resistance_protein|MERE,0.0,187.0,0.0
MEG_7813|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|YCHH,2077.0,2748.0,2645.0
MEG_2608|Drugs|betalactams|Class_C_betalactamases|DHA,14.0,29.0,0.0
MEG_2687|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBA,192.0,249.0,224.0
MEG_645|Drugs|betalactams|Class_C_betalactamases|ADC,140.0,0.0,0.0
MEG_4362|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXB,0.0,136.0,0.0
MEG_1046|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,44.0,58.0,189.0
MEG_3759|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MATE_efflux_pumps|MDTK,4744.0,6112.0,6180.0
MEG_2694|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|EATAV|RequiresSNPConfirmation,0.0,19.0,1.0
MEG_6655|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|TEHA,6052.0,7863.0,7943.0
