gene_accession,cipbeta0_S1,cipbeta0_S3,cipbeta0_S2
MEG_411|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|ACRR|RequiresSNPConfirmation,218,95,153
MEG_2025|Metals|Copper_resistance|Copper_resistance_protein|COPA,104,363,101
MEG_5375|Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation,1840,1994,3591
MEG_3587|Drugs|Lipopeptides|Daptomycin-resistant_mutant|LIAFSR|RequiresSNPConfirmation,0,0,0
MEG_5787|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|PITA,12011,13141,8323
MEG_3002|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,10,65,23
MEG_3917|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MEXK,0,0,164
MEG_1148|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ARSBM,2464,2797,1873
MEG_6928|Drugs|betalactams|Class_A_betalactamases|TEM,50,174,17
MEG_6121|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,0,0,0
MEG_6798|Drugs|betalactams|Class_A_betalactamases|TEM,0,35,0
MEG_6925|Drugs|betalactams|Class_A_betalactamases|TEM,106,281,53
MEG_2511|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,14,0,0
MEG_4061|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|MSBA,9488,9960,7253
MEG_6711|Drugs|betalactams|Class_A_betalactamases|TEM,0,31,0
MEG_2448|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|CUSC,5113,5179,3374
MEG_4203|Biocides|Paraquat_resistance|Paraquat_resistance_protein|NMPC,0,548,406
MEG_6752|Drugs|betalactams|Class_A_betalactamases|TEM,0,17,0
MEG_2898|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_ABC_efflux_pumps|FETA,3652,3808,2908
MEG_6093|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,0,0,0
MEG_7842|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_ABC_efflux_pumps|YOGI,9103,10017,6785
MEG_8741|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|YAJC,0,0,47
MEG_4196|Metals|Nickel_resistance|Nickel_resistance_protein|NIRB,0,0,4
MEG_3448|Drugs|Aminoglycosides|Aminoglycoside_efflux_pumps|KDPE,4862,5051,3537
MEG_7041|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETB,141,915,0
MEG_2453|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_regulator|CUSS,8282,8160,5748
MEG_8674|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB,0,0,63
MEG_2503|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,0,15,0
MEG_2972|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,1,1,0
MEG_705|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ADET1,0,42,15
MEG_7048|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETB,104,724,0
MEG_805|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0,0,10
MEG_7109|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,0,0,46
MEG_4128|Metals|Nickel_resistance|Nickel_MFS_efflux_regulator|NCRYN,49,153,158
MEG_173|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,18,43,0
MEG_6591|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,45,0,0
MEG_6146|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RRSC|RequiresSNPConfirmation,8,9,4
MEG_4186|Drugs|Metronidazole|nim_nitroimidazole_reductase|NIMF,10,0,0
MEG_1488|Metals|Multi-metal_resistance|Multi-metal_resistance_regulator|CADX,724,1189,568
MEG_3915|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MEXI,0,0,107
MEG_6656|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|TEHB,3195,3296,2334
MEG_2968|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,0,0,0
MEG_400|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRA,156,821,456
MEG_7182|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETQ,0,96,124
MEG_2672|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBA,183,186,118
MEG_1366|Drugs|betalactams|Class_A_betalactamases|BLAZ,0,0,0
MEG_1698|Drugs|betalactams|Class_A_betalactamases|CFX,0,12,12
MEG_2456|Metals|Copper_resistance|Copper_resistance_protein|CUTC,2715,2957,2000
MEG_6951|Drugs|betalactams|Class_A_betalactamases|TEM,26,71,0
MEG_706|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ADET2,0,42,29
MEG_2024|Metals|Copper_resistance|Copper_resistance_protein|COPA,167,179,109
MEG_2959|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,0,0,0
MEG_4296|Drugs|betalactams|Mutant_porin_proteins|OPRD|RequiresSNPConfirmation,0,0,1
MEG_7107|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,0,0,23
MEG_6890|Drugs|betalactams|Class_A_betalactamases|TEM,53,159,0
MEG_6875|Drugs|betalactams|Class_A_betalactamases|TEM,2139,4911,2565
MEG_2729|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRD,4335,4986,3247
MEG_1701|Metals|Sodium_resistance|Sodium_resistance_protein|CHAA,6212,6381,4753
MEG_6909|Drugs|betalactams|Class_A_betalactamases|TEM,523,1552,548
MEG_2794|Drugs|MLS|23S_rRNA_methyltransferases|ERMB,0,0,16
MEG_5400|Drugs|betalactams|Penicillin_binding_protein|PBP2,11076,11993,8153
MEG_6124|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,0,0,0
MEG_409|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRF,8725,9103,6258
MEG_5783|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_ABC_efflux_regulator|PHOB|RequiresSNPConfirmation,0,0,0
MEG_6676|Drugs|betalactams|Class_A_betalactamases|TEM,0,28,0
MEG_2833|Drugs|MLS|23S_rRNA_methyltransferases|ERMF,20,11,23
MEG_5896|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,12,0,21
MEG_4095|Drugs|Fosfomycin|Fosfomycin_target_mutation|MURA|RequiresSNPConfirmation,1,0,0
MEG_7093|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETL,0,0,0
MEG_5780|Drugs|Lipopeptides|Daptomycin-resistant_mutant|PGSA|RequiresSNPConfirmation,0,0,0
MEG_1327|Drugs|betalactams|Class_A_betalactamases|BLAZ,0,0,0
MEG_1060|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME,0,0,0
MEG_5359|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,0,0,0
MEG_3018|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSD,0,0,0
MEG_2020|Metals|Copper_resistance|Copper_resistance_protein|COPA,10814,11369,7758
MEG_1043|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,0,0,22
MEG_7201|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETS,0,0,0
MEG_3663|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|MARR,2564,2607,1965
MEG_685|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ADEH,0,49,0
MEG_364|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,0,23,46
MEG_6796|Drugs|betalactams|Class_A_betalactamases|TEM,14,38,0
MEG_7225|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW,0,0,0
MEG_4286|Drugs|Multi-drug_resistance|MDR_mutant_porin_proteins|OMPF|RequiresSNPConfirmation,88,277,181
MEG_3287|Biocides|Peroxide_resistance|Peroxide_resistance_stress_protein|IBPA,2732,2917,1848
MEG_7088|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETJ,688,923,1611
MEG_6957|Metals|Tellurium_resistance|Tellurium_resistance_protein|TERC,141,171,289
MEG_2684|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBA,133,173,103
MEG_7137|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,57,0,53
MEG_2894|Metals|Multi-metal_resistance|Multi-metal_ABC_efflux_pumps|FECD,558,1180,839
MEG_7806|Drugs|Lipopeptides|Daptomycin-resistant_mutant|WALK|RequiresSNPConfirmation,0,0,0
MEG_1410|Drugs|betalactams|Class_A_betalactamases|BLAZ,0,0,0
MEG_6737|Drugs|betalactams|Class_A_betalactamases|TEM,0,32,0
MEG_6551|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_resistance_regulator|SOXS,2402,2722,1673
MEG_6157|Drugs|Nucleosides|Streptothricin_acetyltransferase|SAT,0,0,38
MEG_1650|Drugs|betalactams|Class_A_betalactamases|CEPA,0,0,12
MEG_2086|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|CORA,1292,1253,988
MEG_1085|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH6,303,1188,297
MEG_3886|Metals|Mercury_resistance|Mercury_resistance_regulator|MERR1,0,41,155
MEG_3001|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,0,46,22
MEG_1054|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,217,1110,276
MEG_2446|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|CUSA,17453,19035,13491
MEG_6913|Drugs|betalactams|Class_A_betalactamases|TEM,0,0,22
MEG_420|Drugs|betalactams|Class_C_betalactamases|ACT,20,0,0
MEG_7183|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETQ,395,360,686
MEG_6923|Drugs|betalactams|Class_A_betalactamases|TEM,0,42,0
MEG_8680|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RRS|RequiresSNPConfirmation,11296,14002,0
MEG_6794|Drugs|betalactams|Class_A_betalactamases|TEM,10,52,0
MEG_4292|Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_pumps|OPMB,0,0,27
MEG_5420|Metals|Copper_resistance|Copper_resistance_protein|PCOC,677,1005,784
MEG_892|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0,0,0
MEG_6805|Drugs|betalactams|Class_A_betalactamases|TEM,14,16,0
MEG_8287|Drugs|betalactams|Mutant_porin_proteins|OMP36|RequiresSNPConfirmation,0,332,313
MEG_3254|Biocides|Acid_resistance|Acid_resistance_protein|HDEB,687,777,509
MEG_6822|Drugs|betalactams|Class_A_betalactamases|TEM,0,0,0
MEG_8712|Drugs|betalactams|Class_A_betalactamases|TEM,23,58,0
MEG_3887|Metals|Mercury_resistance|Mercury_resistance_regulator|MERR2,36,178,0
MEG_784|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0,0,20
MEG_7037|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETB,77,425,0
MEG_7045|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETB,187,975,0
MEG_4120|Metals|Nickel_resistance|Nickel_MFS_efflux_pumps|NCRAN,169,567,537
MEG_7042|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETB,252,1329,0
MEG_1004|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT9,0,0,0
MEG_4057|Drugs|Lipopeptides|Daptomycin-resistant_mutant|MPRFD|RequiresSNPConfirmation,0,0,0
MEG_1229|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MATE_efflux_pumps|BEXA,197,172,200
MEG_6892|Drugs|betalactams|Class_A_betalactamases|TEM,0,48,0
MEG_3622|Biocides|Acetate_resistance|Acetate_resistance_protein|LPDT,13394,13689,9738
MEG_3957|Drugs|betalactams|Class_C_betalactamases|MIR,0,0,0
MEG_2938|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,0,0,0
MEG_7271|Biocides|Phenolic_compound_resistance|Phenolic_RND_efflux_pump|TRIA,0,0,49
MEG_7125|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,0,35,37
MEG_4124|Metals|Multi-metal_resistance|Multi-metal_MFS_efflux_pumps|NCRC,0,0,22
MEG_7832|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|YGJH,4906,5297,3850
MEG_2494|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,14,22,36
MEG_1121|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ARMR,0,0,3
MEG_7038|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETB,101,697,0
MEG_3757|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|MDTJ,2447,2367,1819
MEG_3999|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|MNTP,2884,2966,2082
MEG_2999|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,4,0,8
MEG_6577|Biocides|Multi-biocide_resistance|Multi-biocide_SMR_efflux_pump|SUGE,1784,1799,1243
MEG_1119|Drugs|Multi-drug_resistance|MDR_regulator|ARLS,0,0,0
MEG_7046|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETB,113,696,0
MEG_972|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0,13,22
MEG_3609|Drugs|MLS|Lincosamide_nucleotidyltransferases|LNUB,0,0,0
MEG_2117|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|CPXAR,0,0,16
MEG_2958|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,0,0,28
MEG_2991|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,8,46,45
MEG_2602|Drugs|betalactams|Class_C_betalactamases|DHA,0,0,0
MEG_3208|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,0,0,0
MEG_6889|Drugs|betalactams|Class_A_betalactamases|TEM,74,194,20
MEG_2116|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|CPXAR,118,493,363
MEG_3767|Drugs|betalactams|Penicillin_binding_protein|MECA,0,0,0
MEG_2680|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBA,144,150,91
MEG_6940|Drugs|betalactams|Class_A_betalactamases|TEM,0,34,0
MEG_1016|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH2-DPRIME,0,0,0
MEG_1040|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,0,0,0
MEG_682|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ADEF,0,0,0
MEG_6123|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,1,3,2
MEG_2896|Metals|Multi-metal_resistance|Multi-metal_ABC_efflux_pumps|FECE,1383,2619,1327
MEG_1360|Drugs|betalactams|Class_A_betalactamases|BLAZ,0,0,0
MEG_3606|Drugs|MLS|Lincosamide_nucleotidyltransferases|LNUA,73,40,47
MEG_4009|Metals|Multi-metal_resistance|Multi-metal_ABC_efflux_pumps|MODC,2006,2096,1533
MEG_1364|Drugs|betalactams|Class_A_betalactamases|BLAZ,0,0,0
MEG_6462|Drugs|betalactams|Class_A_betalactamases|SHV,0,86,0
MEG_1027|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,0,0,40
MEG_2682|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBA,166,186,131
MEG_7015|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETA,16,0,73
MEG_2639|Drugs|Trimethoprim|Dihydrofolate_reductase|DHFR|RequiresSNPConfirmation,0,0,34
MEG_6908|Drugs|betalactams|Class_A_betalactamases|TEM,0,0,0
MEG_1690|Drugs|betalactams|Class_A_betalactamases|CFX,0,0,14
MEG_4071|Drugs|MLS|MLS_resistance_ABC_efflux_pumps|MSRC,0,167,85
MEG_6169|Drugs|Nucleosides|Streptothricin_acetyltransferase|SAT,0,6,0
MEG_6905|Drugs|betalactams|Class_A_betalactamases|TEM,44,70,37
MEG_3201|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,0,0,0
MEG_6616|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,51,21,23
MEG_1557|Drugs|Phenicol|Chloramphenicol_acetyltransferases|CAT,0,0,13
MEG_5813|Metals|Arsenic_resistance|Arsenic_resistance_protein|PSTA,6438,7367,4790
MEG_7095|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETL,116,0,26
MEG_6795|Drugs|betalactams|Class_A_betalactamases|TEM,14,60,0
MEG_996|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT6,0,6,0
MEG_3189|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,0,0,0
MEG_2614|Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|DHAP,0,0,0
MEG_943|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0,0,28
MEG_4169|Metals|Nickel_resistance|Nickel_ABC_efflux_pumps|NIKB,1830,2082,1430
MEG_772|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0,0,11
MEG_6932|Drugs|betalactams|Class_A_betalactamases|TEM,52,163,21
MEG_7862|Metals|Zinc_resistance|Zinc_resistance_regulator|ZRAR,8465,9340,5951
MEG_211|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,101,0,0
MEG_7265|Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|TOLC,123,148,109
