gene_accession,cipdic0none_S3,cipdic0_S2,cipdic0none_S2,cipdic0none_S1,cipdic0_S3,cipdic0_S1
MEG_2594|Drugs|betalactams|Class_C_betalactamases|DHA,0.0,0.0,0.0,0.0,26.0,0.0
MEG_7019|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETA,0.0,173.0,0.0,66.0,0.0,73.0
MEG_6146|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RRSC|RequiresSNPConfirmation,8.0,13.0,11.0,13.0,10.0,20.0
MEG_2083|Metals|Copper_resistance|Copper_resistance_regulator|COPZ,32.0,31.0,0.0,0.0,0.0,0.0
MEG_2551|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,0.0,31.0,0.0,0.0,0.0,34.0
MEG_6697|Drugs|betalactams|Class_A_betalactamases|TEM,0.0,0.0,51.0,0.0,0.0,31.0
MEG_7196|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_regulator|TETRM|RequiresSNPConfirmation,2.0,12.0,1275.0,32.0,59.0,712.0
MEG_5400|Drugs|betalactams|Penicillin_binding_protein|PBP2,12958.0,10735.0,15307.0,14552.0,13433.0,17956.0
MEG_3083|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|GADX,6173.0,4398.0,6807.0,6449.0,4355.0,7870.0
MEG_1118|Drugs|Multi-drug_resistance|MDR_regulator|ARLS,0.0,48.0,0.0,103.0,120.0,116.0
MEG_6703|Drugs|betalactams|Class_A_betalactamases|TEM,0.0,0.0,10.0,0.0,0.0,0.0
MEG_4174|Metals|Nickel_resistance|Nickel_ABC_efflux_pumps|NIKE,1247.0,1043.0,1454.0,1452.0,1260.0,1693.0
MEG_4340|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXB,0.0,0.0,0.0,0.0,0.0,61.0
MEG_1283|Drugs|betalactams|Class_C_betalactamases|BLAEC,389.0,307.0,607.0,500.0,472.0,559.0
MEG_2987|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,70.0,70.0,83.0,74.0,61.0,134.0
MEG_7263|Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|TOLC,3546.0,2976.0,4153.0,3983.0,3541.0,4929.0
MEG_1045|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,42.0,339.0,1373.0,115.0,81.0,907.0
MEG_142|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,0.0,8.0,0.0,0.0,0.0,0.0
MEG_2577|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRE,0.0,107.0,108.0,158.0,238.0,0.0
MEG_7526|Drugs|Glycopeptides|VanC-type_resistance_protein|VANTC,467.0,571.0,0.0,232.0,0.0,66.0
MEG_2017|Metals|Copper_resistance|Copper_resistance_regulator|COMR,3953.0,3223.0,4526.0,4429.0,4105.0,5393.0
MEG_4061|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|MSBA,10941.0,8718.0,12067.0,11618.0,10847.0,14446.0
MEG_1173|Metals|Arsenic_resistance|Arsenic_resistance_regulator|ARSR,2529.0,2107.0,2958.0,2925.0,2798.0,3428.0
MEG_4057|Drugs|Lipopeptides|Daptomycin-resistant_mutant|MPRFD|RequiresSNPConfirmation,0.0,0.0,0.0,0.0,0.0,1.0
MEG_2644|Drugs|Trimethoprim|Dihydrofolate_reductase|DHFR|RequiresSNPConfirmation,41.0,105.0,0.0,50.0,18.0,0.0
MEG_7502|Drugs|Glycopeptides|VanC-type_regulator|VANSC,210.0,374.0,43.0,598.0,130.0,48.0
MEG_5341|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,0.0,0.0,1.0,1.0,0.0,0.0
MEG_8142|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GRLA|RequiresSNPConfirmation,0.0,0.0,0.0,0.0,53.0,70.0
MEG_7110|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,74.0,0.0,0.0,0.0,115.0,0.0
MEG_1161|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ARSCM,1211.0,802.0,1550.0,1019.0,1445.0,1527.0
MEG_3943|Drugs|Multi-drug_resistance|MDR_regulator|MGRA,0.0,26.0,0.0,83.0,66.0,140.0
MEG_4328|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXA,46.0,84.0,65.0,106.0,0.0,65.0
MEG_6682|Drugs|betalactams|Class_A_betalactamases|TEM,12.0,0.0,36.0,0.0,0.0,0.0
MEG_7321|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,0.0,6.0,3.0,11.0,10.0,20.0
MEG_4162|Metals|Sodium_resistance|Sodium_resistance_protein|NHAA,7260.0,6105.0,8420.0,8195.0,7922.0,9834.0
MEG_1648|Drugs|betalactams|Class_A_betalactamases|CEPA,0.0,0.0,23.0,0.0,0.0,0.0
MEG_215|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,0.0,0.0,0.0,4.0,0.0,0.0
MEG_378|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|ABES,0.0,18.0,0.0,42.0,0.0,0.0
MEG_998|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT6,0.0,42.0,0.0,0.0,25.0,0.0
MEG_6621|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,35.0,195.0,17.0,77.0,55.0,0.0
MEG_4281|Drugs|betalactams|Mutant_porin_proteins|OMP36|RequiresSNPConfirmation,0.0,0.0,0.0,1.0,0.0,1.0
MEG_3762|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|MDTM,3145.0,2265.0,3391.0,3558.0,3013.0,4001.0
MEG_2132|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|CRP,4875.0,4362.0,5873.0,5619.0,5034.0,6870.0
MEG_1585|Drugs|Phenicol|Chloramphenicol_acetyltransferases|CATA,1126.0,698.0,961.0,130.0,84.0,37.0
MEG_7861|Metals|Zinc_resistance|Zinc_resistance_regulator|ZRAR,1350.0,1211.0,1657.0,1685.0,1517.0,2063.0
MEG_6983|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TET38,0.0,25.0,0.0,63.0,81.0,81.0
MEG_6099|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,1.0,1.0,2.0,0.0,0.0,1.0
MEG_3|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,1.0,3.0,7.0,3.0,0.0,0.0
MEG_7370|Drugs|Glycopeptides|VanC-type_resistance_protein|VANC,41.0,155.0,0.0,0.0,0.0,28.0
MEG_3862|Metals|Mercury_resistance|Mercury_resistance_regulator|MERD,42.0,62.0,24.0,155.0,66.0,120.0
MEG_994|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT6,0.0,8.0,0.0,0.0,149.0,28.0
MEG_3591|Drugs|Lipopeptides|Daptomycin-resistant_mutant|LIAFSR|RequiresSNPConfirmation,0.0,0.0,0.0,0.0,0.0,0.0
MEG_2618|Drugs|Trimethoprim|Dihydrofolate_reductase|DHFR|RequiresSNPConfirmation,7.0,46.0,66.0,14.0,15.0,7.0
MEG_7141|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,104.0,0.0,0.0,0.0,111.0,84.0
MEG_2732|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRK,4389.0,3263.0,5057.0,4819.0,4375.0,5921.0
MEG_2024|Metals|Copper_resistance|Copper_resistance_protein|COPA,193.0,135.0,234.0,183.0,187.0,259.0
MEG_6960|Metals|Tellurium_resistance|Tellurium_resistance_protein|TERW,33.0,7.0,29.0,9.0,39.0,51.0
MEG_6762|Drugs|betalactams|Class_A_betalactamases|TEM,0.0,0.0,50.0,0.0,0.0,32.0
MEG_1344|Drugs|betalactams|Class_A_betalactamases|BLAZ,0.0,0.0,0.0,0.0,0.0,13.0
MEG_6351|Drugs|betalactams|Class_A_betalactamases|SHV,0.0,0.0,25.0,0.0,0.0,0.0
MEG_795|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0.0,10.0,0.0,0.0,0.0,0.0
MEG_3736|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|MDFA,1816.0,1455.0,2014.0,2052.0,1857.0,2521.0
MEG_7042|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETB,0.0,0.0,1508.0,19.0,64.0,837.0
MEG_2938|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,0.0,0.0,0.0,0.0,0.0,0.0
MEG_7017|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETA,0.0,178.0,0.0,68.0,44.0,0.0
MEG_3886|Metals|Mercury_resistance|Mercury_resistance_regulator|MERR1,79.0,681.0,59.0,136.0,116.0,423.0
MEG_369|Drugs|Fosfomycin|Fosfomycin_MFS_efflux_pump|ABAF,0.0,0.0,53.0,0.0,0.0,0.0
MEG_7864|Metals|Multi-metal_resistance|Multi-metal_resistance_regulator|ZRAS,7970.0,5289.0,7851.0,7477.0,7264.0,9731.0
MEG_1087|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH6,48.0,260.0,891.0,84.0,68.0,531.0
MEG_6728|Drugs|betalactams|Class_A_betalactamases|TEM,0.0,9.0,0.0,0.0,0.0,0.0
MEG_4353|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXB,0.0,129.0,143.0,84.0,0.0,302.0
MEG_903|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0.0,10.0,0.0,0.0,0.0,0.0
MEG_7194|Drugs|Tetracyclines|Tetracycline_transcriptional_repressor|TETR|RequiresSNPConfirmation,430.0,0.0,369.0,64.0,0.0,0.0
MEG_7319|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,3.0,9.0,2.0,8.0,13.0,16.0
MEG_1041|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,0.0,61.0,0.0,9.0,0.0,40.0
MEG_6782|Drugs|betalactams|Class_A_betalactamases|TEM,13.0,0.0,24.0,0.0,0.0,0.0
MEG_2691|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBC,1915.0,1561.0,2170.0,2148.0,2022.0,2568.0
MEG_1060|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME,0.0,30.0,0.0,103.0,102.0,250.0
MEG_6837|Drugs|betalactams|Class_A_betalactamases|TEM,22.0,15.0,76.0,0.0,0.0,43.0
MEG_2453|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_regulator|CUSS,8925.0,7483.0,10500.0,9956.0,9265.0,11804.0
MEG_2676|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBA,168.0,150.0,211.0,193.0,187.0,227.0
MEG_6958|Metals|Tellurium_resistance|Tellurium_resistance_protein|TERD,28.0,76.0,38.0,31.0,152.0,35.0
MEG_6807|Drugs|betalactams|Class_A_betalactamases|TEM,0.0,0.0,78.0,0.0,0.0,38.0
MEG_4198|Metals|Nickel_resistance|Nickel_resistance_protein|NIRD,0.0,19.0,0.0,16.0,0.0,0.0
MEG_6542|Biocides|Peroxide_resistance|peroxide_resistance_protein|SODA,1692.0,1527.0,2191.0,2108.0,1891.0,2456.0
MEG_8145|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,0.0,497.0,159.0,0.0,0.0,477.0
MEG_8288|Drugs|betalactams|Mutant_porin_proteins|OMPA,6216.0,5416.0,7662.0,7257.0,6545.0,8938.0
MEG_6133|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,0.0,0.0,0.0,0.0,0.0,0.0
MEG_6577|Biocides|Multi-biocide_resistance|Multi-biocide_SMR_efflux_pump|SUGE,1949.0,1641.0,2252.0,2185.0,2236.0,2693.0
MEG_2737|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRY,3869.0,2985.0,4305.0,4281.0,3764.0,5255.0
MEG_7126|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,274.0,0.0,0.0,0.0,231.0,189.0
MEG_3515|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|KPNF,214.0,345.0,419.0,532.0,199.0,573.0
MEG_7857|Metals|Zinc_resistance|Zinc_resistance_protein|ZNUB,508.0,397.0,602.0,523.0,536.0,668.0
MEG_6896|Drugs|betalactams|Class_A_betalactamases|TEM,0.0,0.0,43.0,0.0,0.0,0.0
MEG_680|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ADED,0.0,0.0,0.0,198.0,0.0,0.0
MEG_1229|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MATE_efflux_pumps|BEXA,112.0,97.0,240.0,193.0,149.0,102.0
MEG_6543|Biocides|Peroxide_resistance|peroxide_resistance_protein|SODA,467.0,349.0,581.0,519.0,559.0,668.0
MEG_5902|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,0.0,65.0,0.0,9.0,0.0,79.0
MEG_7859|Metals|Zinc_resistance|Zinc_resistance_protein|ZNUC,4917.0,3829.0,5531.0,5096.0,4881.0,6502.0
MEG_85|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,0.0,10.0,0.0,0.0,0.0,0.0
MEG_5344|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,0.0,0.0,0.0,0.0,0.0,0.0
MEG_7069|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETD,0.0,0.0,0.0,24.0,0.0,0.0
MEG_6763|Drugs|betalactams|Class_A_betalactamases|TEM,17.0,0.0,37.0,0.0,0.0,10.0
MEG_796|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0.0,0.0,14.0,0.0,0.0,0.0
MEG_1043|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,0.0,0.0,34.0,0.0,0.0,0.0
MEG_1687|Drugs|betalactams|Class_A_betalactamases|CFX,0.0,0.0,16.0,0.0,0.0,0.0
MEG_1057|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,108.0,461.0,703.0,155.0,118.0,560.0
MEG_6670|Drugs|betalactams|Class_A_betalactamases|TEM,0.0,0.0,53.0,0.0,0.0,20.0
MEG_6111|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,0.0,0.0,0.0,0.0,0.0,0.0
MEG_7264|Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|TOLC,2934.0,2469.0,3533.0,3265.0,3124.0,4169.0
MEG_784|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,18.0,17.0,0.0,0.0,0.0,11.0
MEG_4362|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXB,0.0,0.0,0.0,106.0,0.0,0.0
MEG_8634|Drugs|Lipopeptides|Colistin-resistant_mutant|PMRAR|RequiresSNPConfirmation,4959.0,3839.0,5518.0,5114.0,5350.0,6549.0
MEG_7048|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETB,0.0,0.0,781.0,0.0,34.0,479.0
MEG_697|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ADEK,0.0,0.0,0.0,52.0,0.0,0.0
MEG_6720|Drugs|betalactams|Class_A_betalactamases|TEM,0.0,0.0,19.0,0.0,0.0,0.0
MEG_7309|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,28.0,247.0,36.0,29.0,47.0,72.0
MEG_8088|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,8.0,7.0,0.0,17.0,0.0,0.0
MEG_4203|Biocides|Paraquat_resistance|Paraquat_resistance_protein|NMPC,536.0,686.0,670.0,837.0,706.0,1226.0
MEG_401|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRB,20053.0,16766.0,23324.0,23121.0,20824.0,27807.0
MEG_6889|Drugs|betalactams|Class_A_betalactamases|TEM,97.0,36.0,222.0,0.0,21.0,162.0
MEG_5831|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|QACEDELTA1,5.0,33.0,0.0,0.0,0.0,41.0
MEG_7115|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,269.0,0.0,37.0,0.0,214.0,157.0
MEG_3076|Biocides|Acid_resistance|Acid_resistance_protein|GADA,10184.0,8253.0,11213.0,11553.0,8560.0,13246.0
MEG_3750|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|MDTC,0.0,1042.0,0.0,0.0,0.0,1643.0
MEG_3141|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|GLPF,3580.0,2784.0,4091.0,3984.0,3751.0,4960.0
MEG_2527|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,0.0,30.0,24.0,0.0,0.0,0.0
MEG_2630|Drugs|Trimethoprim|Dihydrofolate_reductase|DHFR|RequiresSNPConfirmation,76.0,292.0,0.0,87.0,68.0,0.0
MEG_4331|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXA,71.0,72.0,112.0,181.0,42.0,95.0
MEG_701|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|ADEN,0.0,0.0,16.0,112.0,58.0,0.0
MEG_6776|Drugs|betalactams|Class_A_betalactamases|TEM,0.0,12.0,0.0,0.0,0.0,0.0
MEG_1117|Drugs|Multi-drug_resistance|MDR_regulator|ARLR,0.0,0.0,0.0,8.0,0.0,134.0
MEG_2706|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_ABC_efflux_pumps|EFRA,0.0,302.0,159.0,290.0,344.0,0.0
MEG_2736|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRY,5435.0,3947.0,6108.0,5785.0,5128.0,6802.0
MEG_1486|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|CADD,0.0,44.0,0.0,428.0,513.0,369.0
MEG_1448|Drugs|betalactams|Class_A_betalactamases|BLAZ,0.0,0.0,0.0,0.0,0.0,15.0
MEG_7328|Drugs|Cationic_antimicrobial_peptides|Lipid_A_modification|UGD,2952.0,3823.0,2767.0,3008.0,5359.0,5268.0
MEG_4240|Drugs|betalactams|Class_A_betalactamases|OKP,0.0,22.0,0.0,0.0,0.0,0.0
MEG_7033|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETA,0.0,0.0,28.0,0.0,0.0,0.0
MEG_1166|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ARSDM,306.0,1026.0,1256.0,1626.0,2706.0,1091.0
MEG_6905|Drugs|betalactams|Class_A_betalactamases|TEM,0.0,0.0,50.0,0.0,0.0,0.0
MEG_4125|Metals|Multi-metal_resistance|Multi-metal_MFS_efflux_pumps|NCRC,41.0,0.0,0.0,0.0,0.0,28.0
MEG_2497|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,0.0,0.0,24.0,0.0,0.0,0.0
MEG_3747|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|MDTB,19921.0,16929.0,22966.0,22943.0,20583.0,26927.0
MEG_45|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,16.0,75.0,0.0,27.0,0.0,65.0
MEG_4160|Metals|Chromium_resistance|Chromium_resistance_protein|NFSA,4768.0,3757.0,5448.0,5230.0,4959.0,6233.0
MEG_910|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0.0,15.0,0.0,0.0,0.0,0.0
MEG_2457|Metals|Copper_resistance|Copper_resistance_protein|CUTE,10051.0,8145.0,11179.0,11098.0,10127.0,13429.0
MEG_7950|Drugs|betalactams|Class_C_betalactamases|ADC,0.0,0.0,0.0,51.0,51.0,0.0
MEG_7040|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETB,0.0,0.0,793.0,0.0,0.0,492.0
MEG_2903|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|FEXA,0.0,0.0,0.0,0.0,0.0,84.0
MEG_2905|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|FEXA,0.0,0.0,0.0,0.0,0.0,98.0
MEG_1179|Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_regulator|ASMA,944.0,1661.0,1883.0,2422.0,961.0,2753.0
MEG_2093|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|CORD,1131.0,887.0,1219.0,1220.0,1162.0,1463.0
MEG_2122|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|CPXAR,2387.0,1713.0,1912.0,2817.0,2508.0,2666.0
MEG_5422|Metals|Copper_resistance|Copper_resistance_protein|PCOD,2304.0,1126.0,1612.0,1630.0,2251.0,2891.0
MEG_47|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,0.0,14.0,0.0,43.0,57.0,160.0
MEG_4348|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXB,77.0,0.0,0.0,240.0,0.0,234.0
MEG_407|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|ACRD,8552.0,7168.0,9917.0,9943.0,9124.0,12063.0
MEG_7842|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_ABC_efflux_pumps|YOGI,10859.0,8979.0,12251.0,12285.0,10999.0,14685.0
MEG_6929|Drugs|betalactams|Class_A_betalactamases|TEM,29.0,0.0,107.0,0.0,12.0,47.0
MEG_7026|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETA,16.0,181.0,14.0,52.0,0.0,52.0
MEG_885|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0.0,20.0,0.0,0.0,0.0,0.0
MEG_2876|Biocides|Phenolic_compound_resistance|Phenolic_resistance_protein|FABK,0.0,0.0,0.0,0.0,592.0,0.0
MEG_6121|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,0.0,0.0,0.0,0.0,0.0,0.0
MEG_6107|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,0.0,0.0,1.0,0.0,0.0,1.0
MEG_2430|Drugs|betalactams|Class_A_betalactamases|CTX,5622.0,4700.0,19650.0,7107.0,8527.0,17227.0
MEG_8037|Drugs|Aminoglycosides|Aminoglycoside_efflux_pumps|CRCB,5.0,38.0,73.0,41.0,0.0,179.0
MEG_1409|Drugs|betalactams|Class_A_betalactamases|BLAZ,0.0,0.0,0.0,0.0,31.0,0.0
MEG_6576|Biocides|Multi-biocide_resistance|Multi-biocide_SMR_efflux_pump|SUGE,537.0,376.0,619.0,575.0,599.0,755.0
MEG_8232|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|LPTD,1165.0,1970.0,2456.0,2861.0,1264.0,3230.0
MEG_412|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|ACRR|RequiresSNPConfirmation,0.0,0.0,0.0,183.0,0.0,0.0
MEG_6218|Drugs|betalactams|Class_A_betalactamases|SHV,0.0,0.0,0.0,12.0,0.0,0.0
MEG_7088|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETJ,1447.0,787.0,959.0,201.0,95.0,1638.0
MEG_8456|Drugs|betalactams|Penicillin_binding_protein|PBP2|RequiresSNPConfirmation,0.0,107.0,0.0,236.0,255.0,517.0
MEG_1366|Drugs|betalactams|Class_A_betalactamases|BLAZ,0.0,0.0,0.0,26.0,16.0,0.0
MEG_6045|Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_regulator|RAMR|RequiresSNPConfirmation,0.0,2.0,17.0,7.0,1.0,6.0
MEG_8072|Drugs|betalactams|Class_C_betalactamases|DHA,0.0,0.0,27.0,0.0,0.0,0.0
