gene_accession,cipmet5_S3,cipmet5_S1,cipmet5_S2
MEG_2084|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|CORA,594.0,1034.0,166.0
MEG_4368|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXB,0.0,96.0,0.0
MEG_2734|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_regulator|EMRR,1559.0,2902.0,3529.0
MEG_1280|Drugs|betalactams|Class_C_betalactamases|BLAEC,158.0,363.0,469.0
MEG_6414|Drugs|betalactams|Class_A_betalactamases|SHV,68.0,324.0,0.0
MEG_3233|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_2547|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,3.0,0.0,0.0
MEG_2822|Drugs|MLS|23S_rRNA_methyltransferases|ERMC,0.0,0.0,19.0
MEG_2535|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,0.0,7.0,0.0
MEG_6807|Drugs|betalactams|Class_A_betalactamases|TEM,0.0,0.0,38.0
MEG_3142|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|GLPF,714.0,1388.0,1896.0
MEG_3883|Metals|Mercury_resistance|Mercury_resistance_regulator|MERR,113.0,104.0,22.0
MEG_6912|Drugs|betalactams|Class_A_betalactamases|TEM,0.0,0.0,99.0
MEG_2819|Drugs|MLS|23S_rRNA_methyltransferases|ERMC,0.0,0.0,9.0
MEG_7046|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETB,41.0,0.0,570.0
MEG_4365|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXB,0.0,136.0,0.0
MEG_6133|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,0.0,0.0,3.0
MEG_3588|Drugs|Lipopeptides|Daptomycin-resistant_mutant|LIAFSR|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_1328|Drugs|betalactams|Class_A_betalactamases|BLAZ,0.0,0.0,27.0
MEG_899|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,64.0,52.0,35.0
MEG_2498|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,76.0,0.0,0.0
MEG_6167|Drugs|Nucleosides|Streptothricin_acetyltransferase|SAT,30.0,0.0,0.0
MEG_3587|Drugs|Lipopeptides|Daptomycin-resistant_mutant|LIAFSR|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_2092|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|CORD,525.0,1078.0,1320.0
MEG_6710|Drugs|betalactams|Class_A_betalactamases|TEM,0.0,0.0,36.0
MEG_8143|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GRLB|RequiresSNPConfirmation,0.0,84.0,201.0
MEG_1091|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH6,177.0,57.0,1023.0
MEG_2704|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EFMA,194.0,88.0,0.0
MEG_1097|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH6,139.0,63.0,885.0
MEG_1587|Drugs|Phenicol|Chloramphenicol_acetyltransferases|CATA,73.0,0.0,0.0
MEG_7183|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETQ,496.0,478.0,454.0
MEG_5416|Metals|Copper_resistance|Copper_resistance_protein|PCOA,2489.0,3707.0,1211.0
MEG_3001|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,50.0,72.0,0.0
MEG_7263|Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|TOLC,1664.0,2786.0,3011.0
MEG_407|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|ACRD,3437.0,6181.0,7317.0
MEG_6703|Drugs|betalactams|Class_A_betalactamases|TEM,18.0,0.0,0.0
MEG_5395|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PAREF|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_3752|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MDTF,7477.0,13197.0,16890.0
MEG_3861|Metals|Mercury_resistance|Mercury_resistance_regulator|MERD,12.0,48.0,0.0
MEG_3140|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|GLPF,681.0,743.0,467.0
MEG_3834|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MATE_efflux_pumps|MEPA,0.0,147.0,161.0
MEG_5782|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_ABC_efflux_regulator|PHOB|RequiresSNPConfirmation,414.0,669.0,216.0
MEG_7135|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,387.0,0.0,0.0
MEG_6588|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,13.0,0.0,0.0
MEG_6964|Drugs|Tetracyclines|Tetracycline-resistant_16S_ribosomal_subunit_protein|TET16S|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_6093|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,406.0,94.0,0.0
MEG_7864|Metals|Multi-metal_resistance|Multi-metal_resistance_regulator|ZRAS,2526.0,4930.0,5954.0
MEG_370|Drugs|Fosfomycin|Fosfomycin_MFS_efflux_pump|ABAQ,127.0,81.0,64.0
MEG_5362|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_3288|Biocides|Peroxide_resistance|Peroxide_resistance_stress_protein|IBPB,469.0,1088.0,1164.0
MEG_769|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,22.0,0.0,0.0
MEG_174|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,0.0,18.0,0.0
MEG_2675|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBA,70.0,154.0,143.0
MEG_4128|Metals|Nickel_resistance|Nickel_MFS_efflux_regulator|NCRYN,62.0,78.0,62.0
MEG_1151|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ARSBM,1250.0,1794.0,1689.0
MEG_7333|Drugs|Glycopeptides|VanA-type_resistance_protein|VAN|RequiresSNPConfirmation,11.0,16.0,3.0
MEG_7020|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETA,132.0,0.0,0.0
MEG_4006|Metals|Multi-metal_resistance|Multi-metal_ABC_efflux_pumps|MODB,837.0,1573.0,1923.0
MEG_702|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|ADEN,24.0,24.0,0.0
MEG_682|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ADEF,68.0,41.0,19.0
MEG_8087|Biocides|Aldehyde_resistance|Aldehyde_degradation|FORMA,725.0,0.0,1724.0
MEG_2733|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRK,1001.0,1640.0,2094.0
MEG_6637|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,181.0,44.0,56.0
MEG_2454|Metals|Copper_resistance|Copper_resistance_protein|CUTA,954.0,1774.0,2245.0
MEG_3868|Metals|Mercury_resistance|Mercury_resistance_protein|MERE,31.0,37.0,14.0
MEG_1636|Drugs|betalactams|Class_A_betalactamases|CBLA,57.0,42.0,25.0
MEG_3221|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_1156|Metals|Arsenic_resistance|Arsenic_resistance_protein|ARSC,0.0,67.0,48.0
MEG_7328|Drugs|Cationic_antimicrobial_peptides|Lipid_A_modification|UGD,2351.0,1295.0,1968.0
MEG_6891|Drugs|betalactams|Class_A_betalactamases|TEM,13.0,0.0,0.0
MEG_3759|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MATE_efflux_pumps|MDTK,1900.0,3292.0,4168.0
MEG_3835|Drugs|Multi-drug_resistance|Multi-drug_MATE_efflux_pump|MEPB,0.0,179.0,184.0
MEG_6834|Drugs|betalactams|Class_A_betalactamases|TEM,0.0,0.0,32.0
MEG_3080|Biocides|Acid_resistance|Acid_resistance_regulator|GADE,1421.0,2441.0,3164.0
MEG_4337|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXB,374.0,106.0,0.0
MEG_6793|Drugs|betalactams|Class_A_betalactamases|TEM,0.0,0.0,20.0
MEG_2578|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRF,18.0,0.0,27.0
MEG_1181|Biocides|Acid_resistance|Acid_resistance_protein|ASR,785.0,1395.0,1440.0
MEG_6917|Drugs|betalactams|Class_A_betalactamases|TEM,14.0,0.0,0.0
MEG_7025|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETA,367.0,179.0,0.0
MEG_1282|Drugs|betalactams|Class_C_betalactamases|BLAEC,246.0,334.0,733.0
MEG_7313|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,30.0,42.0,11.0
MEG_7108|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,185.0,0.0,0.0
MEG_2677|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBA,73.0,120.0,165.0
MEG_7198|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETS,67.0,72.0,0.0
MEG_6902|Drugs|betalactams|Class_A_betalactamases|TEM,13.0,0.0,0.0
MEG_7835|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|YIEF,1589.0,2908.0,3393.0
MEG_3586|Drugs|Lipopeptides|Daptomycin-resistant_mutant|LIAFSR|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_1642|Drugs|Lipopeptides|Daptomycin-resistant_mutant|CDSA|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_8674|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB,382.0,0.0,0.0
MEG_3215|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_7143|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,39.0,0.0,109.0
MEG_4331|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXA,126.0,162.0,16.0
MEG_8233|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|LSAD,115.0,265.0,106.0
MEG_5385|Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_5365|Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_4217|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|NREB,138.0,98.0,121.0
MEG_137|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,0.0,0.0,26.0
MEG_2121|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|CPXAR,2880.0,6207.0,7537.0
MEG_8692|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|SDRM,0.0,305.0,475.0
MEG_2732|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRK,1638.0,2853.0,3748.0
MEG_7361|Drugs|Glycopeptides|VanC-type_resistance_protein|VANC,30.0,81.0,0.0
MEG_5896|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,15.0,50.0,0.0
MEG_6806|Drugs|betalactams|Class_A_betalactamases|TEM,0.0,0.0,30.0
MEG_3077|Biocides|Acid_resistance|Acid_resistance_protein|GADA,267.0,43.0,45.0
MEG_1490|Drugs|Cationic_antimicrobial_peptides|Cationic_peptide-resistant_16S_ribosomal_subunit_protein|CAP16S|RequiresSNPConfirmation,1.0,0.0,1.0
MEG_6958|Metals|Tellurium_resistance|Tellurium_resistance_protein|TERD,14.0,0.0,38.0
MEG_988|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT6,0.0,39.0,25.0
MEG_2606|Drugs|betalactams|Class_C_betalactamases|DHA,0.0,66.0,0.0
MEG_2678|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBA,76.0,124.0,171.0
MEG_4980|Drugs|betalactams|Class_D_betalactamases|OXA,0.0,21.0,0.0
MEG_7019|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETA,165.0,0.0,0.0
MEG_4177|Metals|Nickel_resistance|Nickel_ABC_efflux_regulator|NIKR,1269.0,2524.0,2657.0
MEG_6927|Drugs|betalactams|Class_A_betalactamases|TEM,105.0,0.0,0.0
MEG_1592|Drugs|Phenicol|Chloramphenicol_acetyltransferases|CATA,51.0,0.0,0.0
MEG_6683|Drugs|betalactams|Class_A_betalactamases|TEM,7.0,0.0,22.0
MEG_6615|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,364.0,107.0,31.0
MEG_7109|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,104.0,0.0,102.0
MEG_6681|Drugs|betalactams|Class_A_betalactamases|TEM,0.0,0.0,18.0
MEG_6752|Drugs|betalactams|Class_A_betalactamases|TEM,0.0,0.0,13.0
MEG_6909|Drugs|betalactams|Class_A_betalactamases|TEM,250.0,122.0,1010.0
MEG_1096|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH6,139.0,25.0,957.0
MEG_684|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ADEG,408.0,293.0,178.0
MEG_2083|Metals|Copper_resistance|Copper_resistance_regulator|COPZ,28.0,0.0,0.0
MEG_6017|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRS,0.0,29.0,0.0
MEG_7088|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETJ,545.0,1534.0,252.0
MEG_6636|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,61.0,34.0,18.0
MEG_6897|Drugs|betalactams|Class_A_betalactamases|TEM,0.0,0.0,30.0
MEG_2640|Drugs|Trimethoprim|Dihydrofolate_reductase|DHFR|RequiresSNPConfirmation,64.0,0.0,0.0
MEG_4223|Drugs|Oxazolidinone|Oxazolidinone-resistant_23S_rRNA_mutation|O23S|RequiresSNPConfirmation,0.0,2.0,1.0
