gene_accession,cip20_S1,cip20_S3,cip20_S2
MEG_7583|Drugs|Glycopeptides|VanC-type_resistance_protein|VANXYC,538.0,1417.0,844.0
MEG_1115|Drugs|Multi-drug_resistance|MDR_regulator|ARLR,29.0,71.0,1606.0
MEG_1028|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,64.0,63.0,32.0
MEG_4169|Metals|Nickel_resistance|Nickel_ABC_efflux_pumps|NIKB,2085.0,2953.0,1199.0
MEG_2644|Drugs|Trimethoprim|Dihydrofolate_reductase|DHFR|RequiresSNPConfirmation,91.0,0.0,0.0
MEG_7361|Drugs|Glycopeptides|VanC-type_resistance_protein|VANC,31.0,99.0,40.0
MEG_3836|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MATE_efflux_regulator|MEPR,58.0,239.0,3511.0
MEG_6949|Drugs|betalactams|Class_A_betalactamases|TEM,0.0,24.0,0.0
MEG_4335|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXA,283.0,236.0,52.0
MEG_5333|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,2.0,102.0,0.0
MEG_5392|Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation,802.0,1045.0,476.0
MEG_3745|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|MDTA,0.0,37.0,49.0
MEG_2148|Drugs|betalactams|Class_A_betalactamases|CTX,14.0,0.0,25.0
MEG_2730|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRD,3856.0,5291.0,2018.0
MEG_6613|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,0.0,24.0,0.0
MEG_899|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,51.0,0.0,0.0
MEG_3001|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,500.0,101.0,29.0
MEG_1210|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|BCR,3737.0,5633.0,2168.0
MEG_4173|Metals|Nickel_resistance|Nickel_ABC_efflux_pumps|NIKE,4444.0,6504.0,2569.0
MEG_6499|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|SILA,2384.0,3259.0,3063.0
MEG_4358|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXB,145.0,77.0,47.0
MEG_6549|Biocides|Multi-biocide_resistance|Multi-biocide_resistance_regulator|SOXRB,2187.0,3130.0,1250.0
MEG_5362|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_6846|Drugs|betalactams|Class_A_betalactamases|TEM,21.0,19.0,0.0
MEG_2084|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|CORA,956.0,556.0,370.0
MEG_3861|Metals|Mercury_resistance|Mercury_resistance_regulator|MERD,0.0,111.0,160.0
MEG_4254|Drugs|betalactams|Class_A_betalactamases|OKP,46.0,59.0,24.0
MEG_1097|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH6,570.0,473.0,329.0
MEG_5977|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,6301.0,4442.0,374.0
MEG_6934|Drugs|betalactams|Class_A_betalactamases|TEM,0.0,140.0,0.0
MEG_2287|Drugs|betalactams|Class_A_betalactamases|CTX,0.0,9.0,12.0
MEG_6837|Drugs|betalactams|Class_A_betalactamases|TEM,0.0,44.0,0.0
MEG_6583|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,0.0,29.0,0.0
MEG_6682|Drugs|betalactams|Class_A_betalactamases|TEM,10.0,17.0,0.0
MEG_2502|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,76.0,17.0,0.0
MEG_2506|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,0.0,134.0,0.0
MEG_1282|Drugs|betalactams|Class_C_betalactamases|BLAEC,154.0,723.0,275.0
MEG_5346|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_2673|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBA,159.0,232.0,78.0
MEG_4207|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|NORA,63.0,514.0,7696.0
MEG_1326|Drugs|betalactams|Class_A_betalactamases|BLAZ,17.0,0.0,23.0
MEG_8151|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRB|RequiresSNPConfirmation,4298.0,3012.0,1552.0
MEG_6543|Biocides|Peroxide_resistance|peroxide_resistance_protein|SODA,460.0,642.0,261.0
MEG_3201|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_728|Drugs|betalactams|Class_C_betalactamases|AMPC,2833.0,4155.0,489.0
MEG_87|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,45.0,54.0,11.0
MEG_4171|Metals|Nickel_resistance|Nickel_ABC_efflux_pumps|NIKD,4261.0,6227.0,2450.0
MEG_5341|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_8080|Drugs|Lipopeptides|Colistin_phosphoethanolamine_transferase|EPTB,5050.0,6091.0,2594.0
MEG_3207|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_7309|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,0.0,11.0,5.0
MEG_690|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ADEI,22.0,0.0,0.0
MEG_3765|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MDTP,10108.0,14401.0,5807.0
MEG_3897|Metals|Mercury_resistance|Mercury_resistance_protein|MERT,262.0,286.0,794.0
MEG_2691|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBC,1798.0,2585.0,988.0
MEG_410|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRF,9559.0,13222.0,5277.0
MEG_1283|Drugs|betalactams|Class_C_betalactamases|BLAEC,0.0,759.0,263.0
MEG_6428|Drugs|betalactams|Class_A_betalactamases|SHV,148.0,76.0,0.0
MEG_6829|Drugs|betalactams|Class_A_betalactamases|TEM,0.0,19.0,0.0
MEG_3449|Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|KEXD,3310.0,1352.0,587.0
MEG_2643|Drugs|Trimethoprim|Dihydrofolate_reductase|DHFR|RequiresSNPConfirmation,102.0,18.0,0.0
MEG_3910|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MEXE,29.0,0.0,0.0
MEG_5363|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,1.0,97.0,2.0
MEG_6932|Drugs|betalactams|Class_A_betalactamases|TEM,30.0,89.0,0.0
MEG_2132|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|CRP,4873.0,6262.0,2689.0
MEG_7178|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETQ,71.0,44.0,62.0
MEG_2578|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRF,0.0,38.0,27.0
MEG_5816|Metals|Arsenic_resistance|Arsenic_resistance_protein|PSTS,4825.0,6241.0,2544.0
MEG_757|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT2-DPRIME,0.0,17.0,0.0
MEG_3751|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MDTE,7515.0,10475.0,4189.0
MEG_3077|Biocides|Acid_resistance|Acid_resistance_protein|GADA,886.0,98.0,63.0
MEG_906|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0.0,99.0,9.0
MEG_7865|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|ZUPT,3005.0,4283.0,1644.0
MEG_1413|Drugs|betalactams|Class_A_betalactamases|BLAZ,0.0,0.0,553.0
MEG_1153|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ARSBM,2605.0,3403.0,1457.0
MEG_2537|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,0.0,131.0,0.0
MEG_7843|Drugs|Lipopeptides|Daptomycin-resistant_mutant|YYBT|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_7301|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,0.0,0.0,2.0
MEG_2083|Metals|Copper_resistance|Copper_resistance_regulator|COPZ,0.0,9.0,0.0
MEG_2900|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_ABC_efflux_pumps|FETB,2341.0,3358.0,1350.0
MEG_4283|Drugs|betalactams|Mutant_porin_proteins|OMP37,2140.0,1295.0,734.0
MEG_3208|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_6589|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,0.0,24.0,0.0
MEG_6617|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,493.0,188.0,293.0
MEG_2829|Drugs|MLS|23S_rRNA_methyltransferases|ERMF,11.0,26.0,37.0
MEG_2954|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,0.0,22.0,0.0
MEG_6959|Metals|Tellurium_resistance|Tellurium_resistance_protein|TERE,158.0,135.0,107.0
MEG_4351|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXB,149.0,128.0,0.0
MEG_1694|Drugs|betalactams|Class_A_betalactamases|CFX,10.0,0.0,0.0
MEG_2530|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,15.0,0.0,0.0
MEG_1278|Drugs|betalactams|Class_C_betalactamases|BLAEC,852.0,387.0,184.0
MEG_6878|Drugs|betalactams|Class_A_betalactamases|TEM,39.0,110.0,32.0
MEG_3295|Drugs|Mupirocin|Mupirocin-resistant_isoleucyl-tRNA_synthetase|ILES,1829.0,407.0,1837.0
MEG_6058|Drugs|MLS|23S_rRNA_methyltransferases|RLMH,27.0,228.0,3129.0
MEG_3767|Drugs|betalactams|Penicillin_binding_protein|MECA,0.0,44.0,0.0
MEG_2435|Drugs|betalactams|Class_A_betalactamases|CTX,4456.0,7392.0,5129.0
MEG_2227|Drugs|betalactams|Class_A_betalactamases|CTX,0.0,0.0,10.0
MEG_3287|Biocides|Peroxide_resistance|Peroxide_resistance_stress_protein|IBPA,2964.0,4085.0,1604.0
MEG_1019|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,1021.0,1592.0,100.0
MEG_904|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0.0,120.0,0.0
MEG_2987|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,57.0,87.0,54.0
MEG_222|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,0.0,40.0,0.0
MEG_7584|Drugs|Glycopeptides|VanC-type_resistance_protein|VANXYC,384.0,602.0,376.0
MEG_7265|Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|TOLC,180.0,243.0,102.0
MEG_2671|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBA,176.0,219.0,102.0
MEG_7117|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,0.0,41.0,0.0
MEG_2672|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBA,192.0,222.0,112.0
MEG_5332|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,4.0,108.0,0.0
MEG_3857|Metals|Mercury_resistance|Mercury_resistance_protein|MERC,649.0,449.0,562.0
MEG_5355|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_1280|Drugs|betalactams|Class_C_betalactamases|BLAEC,0.0,770.0,258.0
MEG_2533|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,0.0,137.0,0.0
MEG_4160|Metals|Chromium_resistance|Chromium_resistance_protein|NFSA,4378.0,6487.0,2620.0
MEG_6926|Drugs|betalactams|Class_A_betalactamases|TEM,24.0,21.0,0.0
MEG_6594|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,0.0,14.0,0.0
MEG_768|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,24.0,0.0,0.0
MEG_7103|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,0.0,49.0,0.0
MEG_5831|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|QACEDELTA1,0.0,30.0,8.0
MEG_6106|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,38.0,45.0,22.0
MEG_698|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ADEK,32.0,0.0,0.0
MEG_2400|Drugs|betalactams|Class_A_betalactamases|CTX,40.0,26.0,55.0
MEG_4072|Drugs|MLS|MLS_resistance_ABC_efflux_pumps|MSRC,183.0,290.0,87.0
MEG_6710|Drugs|betalactams|Class_A_betalactamases|TEM,0.0,38.0,0.0
MEG_2682|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBA,179.0,228.0,111.0
MEG_3230|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_3738|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|MDFA,2352.0,3603.0,1392.0
MEG_6679|Drugs|betalactams|Class_A_betalactamases|TEM,0.0,14.0,0.0
MEG_7363|Drugs|Glycopeptides|VanC-type_resistance_protein|VANC,0.0,107.0,68.0
MEG_832|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0.0,67.0,0.0
MEG_6883|Drugs|betalactams|Class_A_betalactamases|TEM,14.0,0.0,0.0
MEG_3868|Metals|Mercury_resistance|Mercury_resistance_protein|MERE,34.0,55.0,190.0
MEG_3761|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|MDTM,2663.0,6054.0,2520.0
MEG_3948|Metals|Multi-metal_resistance|Multi-metal_resistance_regulator|MGTA,10053.0,13711.0,5401.0
MEG_3071|Drugs|Fusidic_acid|Fusidic_acid-resistant_mutation|FUSE|RequiresSNPConfirmation,0.0,0.0,2.0
MEG_4361|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXB,101.0,0.0,55.0
MEG_1402|Drugs|betalactams|Class_A_betalactamases|BLAZ,0.0,0.0,24.0
MEG_2430|Drugs|betalactams|Class_A_betalactamases|CTX,5783.0,7100.0,5057.0
MEG_7302|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,7.0,6.0,4.0
MEG_7032|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETA,194.0,110.0,66.0
MEG_6145|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RRSA|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_2|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,2.0,0.0,0.0
MEG_2448|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|CUSC,3547.0,7709.0,2480.0
MEG_2088|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|CORB,3783.0,5494.0,2207.0
MEG_1275|Drugs|betalactams|Class_C_betalactamases|BLAEC,345.0,198.0,236.0
MEG_958|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,15.0,0.0,0.0
MEG_1193|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_regulator|BAES,5358.0,8142.0,3252.0
MEG_6655|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|TEHA,5639.0,8845.0,3611.0
MEG_4324|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXA,0.0,0.0,37.0
MEG_2721|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRA,2280.0,3583.0,1370.0
MEG_3642|Drugs|MLS|MLS_resistance_ABC_efflux_pumps|LSA,0.0,0.0,36.0
MEG_1149|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ARSBM,0.0,0.0,579.0
MEG_5424|Metals|Copper_resistance|Copper_resistance_regulator|PCOR,439.0,598.0,614.0
MEG_6169|Drugs|Nucleosides|Streptothricin_acetyltransferase|SAT,0.0,0.0,7.0
MEG_3886|Metals|Mercury_resistance|Mercury_resistance_regulator|MERR1,449.0,268.0,196.0
MEG_6593|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,0.0,26.0,0.0
MEG_8659|Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_regulator|RAMR|RequiresSNPConfirmation,325.0,173.0,95.0
MEG_4339|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXB,276.0,128.0,0.0
MEG_1084|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH6,723.0,493.0,319.0
MEG_5379|Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_1156|Metals|Arsenic_resistance|Arsenic_resistance_protein|ARSC,20.0,44.0,1176.0
MEG_3186|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_6873|Drugs|betalactams|Class_A_betalactamases|TEM,27.0,80.0,0.0
MEG_6877|Drugs|betalactams|Class_A_betalactamases|TEM,23.0,68.0,0.0
MEG_7858|Metals|Zinc_resistance|Zinc_resistance_protein|ZNUB,4045.0,6199.0,2417.0
MEG_8100|Drugs|Fusidic_acid|Fusidic_acid-resistant_mutation|FUSA|RequiresSNPConfirmation,2516.0,3121.0,10509.0
MEG_7582|Drugs|Glycopeptides|VanC-type_resistance_protein|VANXYC,77.0,102.0,73.0
MEG_6889|Drugs|betalactams|Class_A_betalactamases|TEM,42.0,124.0,0.0
MEG_1117|Drugs|Multi-drug_resistance|MDR_regulator|ARLR,0.0,229.0,2225.0
MEG_402|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRB,0.0,32.0,0.0
MEG_2591|Drugs|betalactams|Class_C_betalactamases|DHA,95.0,126.0,0.0
MEG_7148|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,0.0,31.0,0.0
MEG_2160|Drugs|betalactams|Class_A_betalactamases|CTX,16.0,0.0,13.0
MEG_6726|Drugs|betalactams|Class_A_betalactamases|TEM,14.0,31.0,0.0
MEG_2833|Drugs|MLS|23S_rRNA_methyltransferases|ERMF,44.0,33.0,90.0
MEG_8290|Drugs|betalactams|Mutant_porin_proteins|OMPK36|RequiresSNPConfirmation,1708.0,2686.0,1526.0
MEG_784|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0.0,12.0,0.0
MEG_6598|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,0.0,10.0,0.0
MEG_2895|Metals|Multi-metal_resistance|Multi-metal_ABC_efflux_pumps|FECD,1324.0,1784.0,650.0
MEG_1587|Drugs|Phenicol|Chloramphenicol_acetyltransferases|CATA,76.0,83.0,32.0
MEG_6045|Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_regulator|RAMR|RequiresSNPConfirmation,11.0,6.0,2.0
MEG_830|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0.0,89.0,0.0
MEG_3755|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|MDTH,6933.0,10443.0,3979.0
MEG_64|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,0.0,1771.0,0.0
MEG_1192|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_regulator|BAER,4854.0,7072.0,2857.0
MEG_2694|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|EATAV|RequiresSNPConfirmation,15.0,18.0,3.0
MEG_3141|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|GLPF,2995.0,4506.0,1783.0
MEG_7037|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETB,0.0,89.0,0.0
MEG_2674|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBA,203.0,206.0,112.0
MEG_2092|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|CORD,1338.0,2045.0,849.0
MEG_6638|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,337.0,143.0,177.0
MEG_2431|Drugs|betalactams|Class_A_betalactamases|CTX,195.0,138.0,229.0
MEG_2440|Metals|Copper_resistance|Copper_resistance_protein|CUEO,10116.0,14060.0,5415.0
MEG_6634|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,357.0,165.0,180.0
MEG_11|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_4670|Drugs|betalactams|Class_D_betalactamases|OXA,0.0,379.0,0.0
MEG_1354|Drugs|betalactams|Class_A_betalactamases|BLAZ,0.0,0.0,15.0
MEG_8231|Drugs|Lipopeptides|Colistin-resistant_mutant|LPSB,94.0,0.0,0.0
MEG_408|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRE,7032.0,10479.0,4263.0
MEG_700|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|ADEL,58.0,0.0,0.0
MEG_2722|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRA,5374.0,7499.0,2984.0
MEG_7877|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,0.0,30.0,0.0
MEG_6984|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TET38,0.0,284.0,3247.0
MEG_6887|Drugs|betalactams|Class_A_betalactamases|TEM,0.0,73.0,0.0
