gene_accession,cipmet40_S3,cipmet40_S1
MEG_8445|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,4237.0,5098.0
MEG_7018|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETA,0.0,66.0
MEG_876|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,54.0,0.0
MEG_6606|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,89.0,0.0
MEG_2522|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,129.0,10.0
MEG_1193|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_regulator|BAES,5490.0,6647.0
MEG_4223|Drugs|Oxazolidinone|Oxazolidinone-resistant_23S_rRNA_mutation|O23S|RequiresSNPConfirmation,0.0,0.0
MEG_3290|Biocides|Acetate_resistance|Acetate_resistance_protein|ICLR,2538.0,2901.0
MEG_6499|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|SILA,1026.0,331.0
MEG_7861|Metals|Zinc_resistance|Zinc_resistance_regulator|ZRAR,1603.0,1672.0
MEG_805|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0.0,37.0
MEG_6030|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRS,25.0,23.0
MEG_4103|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|MVRC,1786.0,2555.0
MEG_1079|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME,560.0,33.0
MEG_7301|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,1.0,2.0
MEG_1162|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ARSCM,939.0,209.0
MEG_6633|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,44.0,63.0
MEG_2453|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_regulator|CUSS,9366.0,11109.0
MEG_2725|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRB,4799.0,5455.0
MEG_2348|Drugs|betalactams|Class_A_betalactamases|CTX,12.0,0.0
MEG_704|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|ADES,39.0,0.0
MEG_2949|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,44.0,17.0
MEG_2229|Drugs|betalactams|Class_A_betalactamases|CTX,13.0,0.0
MEG_1276|Drugs|betalactams|Class_C_betalactamases|BLAEC,85.0,659.0
MEG_884|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,19.0,22.0
MEG_970|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,87.0,12.0
MEG_1366|Drugs|betalactams|Class_A_betalactamases|BLAZ,84.0,44.0
MEG_6540|Biocides|Peroxide_resistance|peroxide_resistance_protein|SODA,2934.0,3591.0
MEG_1281|Drugs|betalactams|Class_C_betalactamases|BLAEC,0.0,239.0
MEG_7866|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|ZUPT,1806.0,2289.0
MEG_2155|Drugs|betalactams|Class_A_betalactamases|CTX,18.0,0.0
MEG_6414|Drugs|betalactams|Class_A_betalactamases|SHV,61.0,0.0
MEG_2451|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|CUSF,2293.0,2995.0
MEG_1460|Drugs|Glycopeptides|Bleomycin_resistance_protein|BLE,0.0,24.0
MEG_864|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,17.0,0.0
MEG_2524|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,158.0,13.0
MEG_2440|Metals|Copper_resistance|Copper_resistance_protein|CUEO,10232.0,12394.0
MEG_7806|Drugs|Lipopeptides|Daptomycin-resistant_mutant|WALK|RequiresSNPConfirmation,0.0,0.0
MEG_1284|Drugs|betalactams|Class_C_betalactamases|BLAEC,40.0,87.0
MEG_7182|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETQ,0.0,127.0
MEG_5976|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,735.0,868.0
MEG_7265|Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|TOLC,205.0,193.0
MEG_1732|Drugs|Lipopeptides|Daptomycin-resistant_mutant|CLS|RequiresSNPConfirmation,0.0,0.0
MEG_3200|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,0.0,0.0
MEG_2587|Drugs|betalactams|Class_C_betalactamases|DHA,195.0,26.0
MEG_5384|Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation,0.0,0.0
MEG_3254|Biocides|Acid_resistance|Acid_resistance_protein|HDEB,772.0,1017.0
MEG_6410|Drugs|betalactams|Class_A_betalactamases|SHV,29.0,0.0
MEG_2962|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,42.0,18.0
MEG_6032|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRS,0.0,18.0
MEG_6023|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRS,180.0,246.0
MEG_2115|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|CPXAR,2564.0,277.0
MEG_4177|Metals|Nickel_resistance|Nickel_ABC_efflux_regulator|NIKR,3061.0,3632.0
MEG_1054|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,417.0,61.0
MEG_5934|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,973.0,1060.0
MEG_6058|Drugs|MLS|23S_rRNA_methyltransferases|RLMH,267.0,121.0
MEG_6598|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,64.0,0.0
MEG_414|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|ACRR|RequiresSNPConfirmation,14.0,0.0
MEG_1046|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,317.0,39.0
MEG_2119|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|CPXAR,1505.0,2287.0
MEG_5780|Drugs|Lipopeptides|Daptomycin-resistant_mutant|PGSA|RequiresSNPConfirmation,0.0,0.0
MEG_7024|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETA,311.0,345.0
MEG_1210|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|BCR,3879.0,4474.0
MEG_7581|Drugs|Glycopeptides|VanC-type_resistance_protein|VANXYC,0.0,47.0
MEG_2964|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,214.0,41.0
MEG_2706|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_ABC_efflux_pumps|EFRA,171.0,0.0
MEG_3067|Drugs|Fusidic_acid|Ribosomal_zinc-binding_protein|FUSB,0.0,9.0
MEG_8456|Drugs|betalactams|Penicillin_binding_protein|PBP2|RequiresSNPConfirmation,1096.0,569.0
MEG_2081|Metals|Copper_resistance|Copper_resistance_regulator|COPZ,143.0,91.0
MEG_5772|Biocides|Peroxide_resistance|peroxide_resistance_regulator|PERR,237.0,148.0
MEG_1645|Drugs|betalactams|Class_A_betalactamases|CEPA,8.0,13.0
MEG_7974|Drugs|betalactams|Class_C_betalactamase_regulator|AMPCR|RequiresSNPConfirmation,1121.0,1421.0
MEG_7263|Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|TOLC,3669.0,4210.0
MEG_3591|Drugs|Lipopeptides|Daptomycin-resistant_mutant|LIAFSR|RequiresSNPConfirmation,0.0,0.0
MEG_3831|Drugs|Lipopeptides|Lysocin-resistant_mutant|MENA|RequiresSNPConfirmation,0.0,0.0
MEG_2385|Drugs|betalactams|Class_A_betalactamases|CTX,17.0,0.0
MEG_6834|Drugs|betalactams|Class_A_betalactamases|TEM,0.0,11.0
MEG_5420|Metals|Copper_resistance|Copper_resistance_protein|PCOC,34.0,42.0
MEG_2873|Biocides|Phenolic_compound_resistance|Triclosan-resistant_mutation|FABG|RequiresSNPConfirmation,0.0,0.0
MEG_5379|Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation,0.0,0.0
MEG_6270|Drugs|betalactams|Class_A_betalactamases|SHV,22.0,0.0
MEG_5978|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,100.0,0.0
MEG_7032|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETA,142.0,149.0
MEG_4289|Drugs|betalactams|Mutant_porin_proteins|OMPFB|RequiresSNPConfirmation,0.0,0.0
MEG_3627|Drugs|Lipopeptides|Colistin-resistant_mutant|LPXC|RequiresSNPConfirmation,0.0,0.0
MEG_6578|Biocides|Multi-biocide_resistance|Multi-biocide_SMR_efflux_pump|SUGE,91.0,123.0
MEG_8053|Drugs|betalactams|Class_A_betalactamases|CTX,24.0,0.0
MEG_415|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|ACRS,4684.0,6233.0
MEG_6013|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRD,0.0,29.0
MEG_405|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|ACRD,3907.0,4656.0
MEG_2525|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,160.0,12.0
MEG_1364|Drugs|betalactams|Class_A_betalactamases|BLAZ,114.0,51.0
MEG_904|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0.0,14.0
MEG_6610|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,46.0,0.0
MEG_1003|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT9,21.0,0.0
MEG_4332|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXA,195.0,0.0
MEG_3738|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|MDFA,2368.0,3037.0
MEG_3746|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|MDTA,7821.0,9740.0
MEG_7183|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETQ,279.0,481.0
MEG_5344|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,0.0,0.0
MEG_2679|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBA,187.0,227.0
MEG_1085|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH6,434.0,71.0
MEG_5801|Drugs|Cationic_antimicrobial_peptides|Lipid_A_modification|PMRF,5622.0,6669.0
MEG_7813|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|YCHH,2096.0,2349.0
MEG_6133|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,1.0,1.0
MEG_2502|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,0.0,29.0
MEG_3757|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|MDTJ,2281.0,3159.0
MEG_6107|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,0.0,0.0
MEG_8072|Drugs|betalactams|Class_C_betalactamases|DHA,150.0,28.0
MEG_2733|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRK,2259.0,3012.0
MEG_8460|Drugs|betalactams|Penicillin_binding_protein|PBP4|RequiresSNPConfirmation,222.0,96.0
MEG_6652|Metals|Copper_resistance|Copper_resistance_protein|TCRB,1687.0,1639.0
MEG_3222|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,0.0,0.0
MEG_5817|Metals|Arsenic_resistance|Arsenic_resistance_protein|PSTS,2890.0,2951.0
MEG_7853|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ZNTA,18019.0,20719.0
MEG_1300|Drugs|betalactams|Penicillin_binding_protein_regulator|BLAR,1233.0,530.0
MEG_3227|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,0.0,0.0
MEG_2897|Metals|Multi-metal_resistance|Multi-metal_ABC_efflux_pumps|FECE,2203.0,2534.0
MEG_967|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,28.0,0.0
MEG_875|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,95.0,0.0
MEG_4164|Metals|Sodium_resistance|Sodium_resistance_protein|NHAB,5218.0,6745.0
MEG_6439|Drugs|betalactams|Class_A_betalactamases|SHV,46.0,0.0
MEG_7313|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,33.0,45.0
MEG_3756|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|MDTI,1960.0,2708.0
MEG_6139|Drugs|Lipopeptides|Daptomycin-resistant_beta-subunit_of_RNA_polymerase_RpoC|RPOCL|RequiresSNPConfirmation,0.0,0.0
MEG_6542|Biocides|Peroxide_resistance|peroxide_resistance_protein|SODA,1893.0,2010.0
MEG_1359|Drugs|betalactams|Class_A_betalactamases|BLAZ,24.0,0.0
MEG_7318|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,34.0,53.0
MEG_2607|Drugs|betalactams|Class_C_betalactamases|DHA,179.0,38.0
MEG_2536|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,0.0,10.0
MEG_779|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,32.0,0.0
MEG_3142|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|GLPF,2086.0,2496.0
MEG_1176|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ARSRM,955.0,73.0
MEG_3643|Drugs|MLS|MLS_resistance_ABC_efflux_pumps|LSA,248.0,0.0
MEG_6249|Drugs|betalactams|Class_A_betalactamases|SHV,13.0,0.0
MEG_84|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,0.0,36.0
MEG_3896|Metals|Mercury_resistance|Mercury_resistance_protein|MERT,27.0,161.0
MEG_5392|Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation,0.0,896.0
MEG_3448|Drugs|Aminoglycosides|Aminoglycoside_efflux_pumps|KDPE,5667.0,7103.0
MEG_951|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0.0,31.0
MEG_3295|Drugs|Mupirocin|Mupirocin-resistant_isoleucyl-tRNA_synthetase|ILES,584.0,0.0
MEG_2900|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_ABC_efflux_pumps|FETB,2368.0,2943.0
MEG_6957|Metals|Tellurium_resistance|Tellurium_resistance_protein|TERC,320.0,0.0
MEG_4163|Metals|Sodium_resistance|Sodium_resistance_protein|NHAB,4043.0,5182.0
MEG_7841|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|YODB,1664.0,1543.0
MEG_5348|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,2.0,1.0
MEG_7029|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETA,0.0,59.0
MEG_2024|Metals|Copper_resistance|Copper_resistance_protein|COPA,162.0,235.0
MEG_7328|Drugs|Cationic_antimicrobial_peptides|Lipid_A_modification|UGD,5453.0,6285.0
MEG_3947|Metals|Multi-metal_resistance|Multi-metal_resistance_regulator|MGTA,7808.0,9734.0
MEG_7180|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETQ,32.0,67.0
MEG_1161|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ARSCM,1237.0,1351.0
MEG_2714|Biocides|Quaternary_Ammonium_Compounds_(QACs)_resistance|QAC_efflux_pump|EMEA,293.0,0.0
MEG_1057|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,296.0,63.0
MEG_3590|Drugs|Lipopeptides|Daptomycin-resistant_mutant|LIAFSR|RequiresSNPConfirmation,0.0,0.0
MEG_7849|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ZINT,3568.0,3805.0
MEG_6596|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,51.0,17.0
MEG_7142|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,0.0,35.0
MEG_6049|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|RCNB,1991.0,2526.0
MEG_2597|Drugs|betalactams|Class_C_betalactamases|DHA,217.0,28.0
MEG_6507|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|SILP,223.0,151.0
MEG_3516|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|KPNO,3482.0,2762.0
MEG_1363|Drugs|betalactams|Class_A_betalactamases|BLAZ,83.0,27.0
MEG_2423|Drugs|betalactams|Class_A_betalactamases|CTX,207.0,14.0
MEG_2874|Biocides|Phenolic_compound_resistance|Phenolic_resistance_protein|FABI,165.0,0.0
MEG_975|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,472.0,39.0
MEG_6583|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,86.0,13.0
MEG_3661|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|MARA,778.0,1043.0
MEG_3837|Metals|Mercury_resistance|Mercury_resistance_protein|MERA,0.0,138.0
MEG_2613|Drugs|betalactams|Class_C_betalactamases|DHA,0.0,36.0
MEG_7136|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,0.0,39.0
MEG_7039|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETB,0.0,23.0
MEG_3833|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MATE_efflux_pumps|MEPA,121.0,49.0
MEG_888|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,21.0,18.0
MEG_2598|Drugs|betalactams|Class_C_betalactamases|DHA,197.0,29.0
MEG_1041|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,171.0,31.0
MEG_5819|Drugs|Fosfomycin|Fosfomycin_target_mutation|PTSL|RequiresSNPConfirmation,0.0,0.0
MEG_6580|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,71.0,0.0
MEG_12|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,0.0,0.0
MEG_3236|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,0.0,0.0
MEG_2588|Drugs|betalactams|Class_C_betalactamases|DHA,166.0,22.0
MEG_3229|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,0.0,0.0
MEG_963|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0.0,30.0
MEG_2378|Drugs|betalactams|Class_A_betalactamases|CTX,6421.0,8389.0
MEG_6124|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,0.0,0.0
MEG_6584|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,46.0,12.0
MEG_2585|Drugs|betalactams|Class_C_betalactamases|DHA,298.0,25.0
MEG_7025|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETA,274.0,271.0
MEG_3747|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|MDTB,19573.0,21897.0
MEG_2895|Metals|Multi-metal_resistance|Multi-metal_ABC_efflux_pumps|FECD,1786.0,1789.0
MEG_5787|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|PITA,14224.0,16611.0
MEG_7038|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETB,0.0,22.0
MEG_2685|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBA,217.0,210.0
MEG_3758|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MATE_efflux_pumps|MDTK,3184.0,4163.0
MEG_6651|Metals|Copper_resistance|Copper_resistance_protein|TCRA,836.0,0.0
MEG_7312|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,11.0,18.0
MEG_324|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,0.0,17.0
MEG_6581|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,45.0,0.0
MEG_6878|Drugs|betalactams|Class_A_betalactamases|TEM,0.0,20.0
MEG_4006|Metals|Multi-metal_resistance|Multi-metal_ABC_efflux_pumps|MODB,2229.0,2628.0
MEG_1275|Drugs|betalactams|Class_C_betalactamases|BLAEC,97.0,347.0
MEG_3002|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,223.0,24.0
MEG_3588|Drugs|Lipopeptides|Daptomycin-resistant_mutant|LIAFSR|RequiresSNPConfirmation,0.0,0.0
MEG_2421|Drugs|betalactams|Class_A_betalactamases|CTX,1110.0,0.0
MEG_705|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ADET1,12.0,0.0
MEG_4283|Drugs|betalactams|Mutant_porin_proteins|OMP37,2316.0,519.0
MEG_1189|Drugs|Bacitracin|Undecaprenyl_pyrophosphate_phosphatase|BACA,1689.0,2164.0
MEG_811|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0.0,8.0
MEG_2591|Drugs|betalactams|Class_C_betalactamases|DHA,166.0,0.0
MEG_6045|Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_regulator|RAMR|RequiresSNPConfirmation,13.0,0.0
MEG_8659|Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_regulator|RAMR|RequiresSNPConfirmation,389.0,27.0
MEG_7884|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|ACRR|RequiresSNPConfirmation,249.0,0.0
MEG_5856|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_regulator|QACR,18.0,62.0
MEG_6048|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|RCNA,4216.0,6025.0
MEG_7042|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETB,16.0,66.0
MEG_6543|Biocides|Peroxide_resistance|peroxide_resistance_protein|SODA,426.0,626.0
MEG_797|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0.0,14.0
